EFECTIVO,CXC,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,CONTRIBUCIONES_X_PAGAR,ANTICIPOS_CTE,CAP_SOCIAL,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS,OBJETIVO
1239313.965,15654201.29,4258093.6280000005,4992227.451,,-1211045.306,26491102.73,261204.517,6774862.207,1071390.523,6969676.844,-3274701.477,62510729.52,35610786.2,13753520.6,,Sospechoso
584525.4621,2853898.312,,648831.5372,1239456.673,-3731872.905,7295762.294,79600.64679,1845507.038,,,-3841999.052,56969777.23,67999988.45,5928461.774,4991463.384,Sospechoso
2807661.311,22748788.96,179159.4362,34566790.68,4770308.927,-13660373.06,10477354.73,815696.6698,3559026.95,,,-3511910.46,152278530.2,275911614.3,9272072.504,10356078.26,Sospechoso
,15636226.07,2324992.875,684084.62,267478.598,,14642710.82,360409.7281,4273191.246,432194.1868,18494714.96,-6891610.353999998,64397316.04,,1458162.711,3128305.009,Sospechoso
,31534400.49,13578863.28,852607.1008,241549.0671,-1653139.19,26518612.25,3601023.62,4573359.061000002,4646093.533,20839708.75,-6663131.5320000015,77573923.5,,8215757.857000002,14112219.24,Sospechoso
,30024059.99,3573729.523,2556083.571,,-2854574.68,35189744.63,55782.89645,1424195.934,129821.7369,9801120.237,-5267307.143,100954464.2,212352369.7,16137424.47,18628288.66,Sospechoso
9334434.802,23254347.2,2730424.302,3352265.379,759121.0909,-9754369.2,18385362.38,617390.9935,6590307.1910000015,11335501.7,1928554.486,-2657109.036,31372029.47,129869540.0,9154076.291,15904495.99,Sospechoso
1144753.069,7285238.667,9481433.223,125367.8416,321039.6978,-1600830.572,,321092.5283,4759883.174,3506019.47,14588071.81,-3098130.649,84252150.11,13589495.94,,5607622.449,Sospechoso
382205.2619,,185016.8051,10819563.4,306464.1989,-5973283.115,11399179.89,298072.8131,987719.4646,20145.68197,13350582.81,-3935200.279,21017135.36,26224362.46,8203797.437999999,9118749.047,Sospechoso
,4019325.795,256449.5273,570147.601,141556.0831,-7069872.932999998,1040891.38,834859.7834,2957696.807,1635190.103,11095099.17,-2855144.098,15637073.09,3499468.799,,,Sospechoso
606652.8892,69021110.9,13623546.62,1351702.531,1599145.197,-5498630.7420000015,48666487.66,602373.2929,1894604.278,,26500397.71,,260141139.2,478455830.1,30822879.27,34534908.44,Sospechoso
1604249.495,26868704.07,1784563.233,4854614.275,2258033.685,-6707912.706,21149065.9,1113520.743,,5871495.878,9996887.429,-2767299.789,97899930.59,118099944.4,,10963235.13,Sospechoso
998684.4887,27514935.22,9100977.915,,2275026.0130000003,-2750942.757,50927263.89,378903.6888,,194368.2142,15690111.71,,150749231.9,810137432.7,20006876.34,17447548.27,Sospechoso
598817.0973,7173910.247,1371555.132,1501251.477,1257731.144,-2630353.483,12374433.92,215063.024,1170628.238,654626.1092,,-3337951.232,,,7248498.414,9205203.276,Sospechoso
1908857.045,42739003.05,3926190.151,27844779.44,,-3735178.809,62298159.95,555682.9161,4062909.396,1628909.979,13427692.17,-3243182.868,95286317.11,112395535.1,29489777.51,29247378.59,Sospechoso
1174943.877,7103732.551,4580696.143999998,869234.2801,552323.4684,-3084251.872,,208766.8626,2334256.365,773395.1111,5797498.33,,28806323.29,63742117.58,5112041.518999998,8361788.256,Sospechoso
823583.413,8673704.223,9427746.298,422799.9721,1138483.265,-353906.8496,,685453.1064,5228217.148,4954850.13,10060751.16,-4155809.891,58694222.74,114054747.0,7434169.568,,Sospechoso
2178732.775,13659266.17,525983.7698,1149455.669,2278532.336,-13684190.73,4975925.38,603450.1711,,416218.912,26687417.99,-3969169.223,154270582.9,,1460218.773,3692217.607,Sospechoso
,13571205.39,4774186.989,646711.8799,900560.2861,-2530502.676,,,,1449286.5469999998,948483.0704,-4020834.607,44729867.02,,16010178.11,15053685.75,Sospechoso
994707.6084,14427541.53,6761681.971,1166984.307,122782.8828,-291404.2199,18927282.4,334632.1077,1514312.168,1282669.1090000002,6953582.75,,,26400203.13,14552021.82,15905146.8,Sospechoso
2586195.736,,4354705.973,53837780.32,3218234.475,-641631.695,19937831.17,2372847.225,,3011500.461,3211781.624,-6035635.761,47616082.98,737800596.3,6680386.52,,Sospechoso
477390.0595,4549842.867,5032707.129,220419.3946,733816.3639,162906.7884,6439553.977999999,,,2070085.604,10945896.91,-4345144.716,,25310850.77,1750528.779,3084249.828,Sospechoso
1006131.399,4077866.577,1159840.246,630724.1809,338619.8343,,6440441.998,216940.4479,2615667.176,1005571.979,2550717.322,,20309883.55,48909275.51,2889229.417,3548313.8210000005,Sospechoso
2082081.397,42602356.44,4922273.232,9412642.072,687222.8577,-5068377.763,42783038.11,1321260.524,4972434.739,2906312.762,16768698.5,-3400250.57,114245826.8,60301064.63,19203368.74,20290826.87,Sospechoso
1052554.454,15408248.15,2731914.739,3927269.366,461580.2693,-588802.007,24911717.7,1443553.043,2160223.938,4284558.465,11167508.43,-3083806.909,52055619.53,30339512.9,7016805.208,15057367.71,Sospechoso
449168.8344,7268558.711,3292097.675,1989652.905,790267.8991,-73837.88361,14495249.36,358164.6835,1215094.453,159400.4411,,-3216409.744,77354803.91,,12555761.02,10547997.09,Sospechoso
467908.2403,8238879.181,2717491.184,,1674213.117,-1424622.772,6572391.635,344686.5234,1847333.851,,13936735.46,-3482372.842,,42266739.01,2919704.323000001,6419896.639,Sospechoso
1815672.323,9834343.189,2687801.713,,278492.079,-4347512.897,19759628.92,,4004145.212,10775330.5,-767561.5469,-1756420.761,29449721.02,37794145.67,13599391.07,11750680.23,Sospechoso
332402.8987,17476832.83,10107730.02,152740.5844,1946846.373,-3818867.0,15136188.88,,801060.3656,38565.49194,22874522.57,-3369810.078,292329252.1,93853012.53,15065555.77,,Sospechoso
1109155.812,3987557.66,5190761.962,104998.345,93107.82781,-2420931.0930000003,,,1740841.075,4054096.975,-237672.7289,-3234277.025,18475772.87,,5762600.186000002,6663956.93,Sospechoso
547664.8845,6631700.938999998,531446.4498,615108.7353,88451.08491,,8586987.547,,712243.0346,40759.94448,,-5039560.348,31432581.02,,2661819.69,5635386.578,Sospechoso
921391.6911,33872586.38,,1399932.887,360946.493,-8046309.141,22039750.89,,651894.7382,,17288523.85,-3420550.611,,77992831.69,15470836.79,25910500.09,Sospechoso
11807405.16,,5567909.751,10080492.56,3167056.315,-13517378.71,42729338.95,2292314.386,8263879.517999998,6498240.737000002,18859755.54,-5449064.257,190104084.7,,24013515.48,28872664.92,Sospechoso
,29227172.1,8575290.292000001,3246037.197,2477009.144,-2943012.566,,399530.9613,5091384.091,320496.0403,23322647.07,-5306172.136,245112759.5,,,14152627.78,Sospechoso
,30300703.82,7762453.946,5734216.012,,-3843273.581,23046399.03,1169992.816,5068884.052,612307.4827,20544394.29,,150294450.4,139560389.4,3731961.544,,Sospechoso
1853853.883,38294080.02,11829336.89,2670305.552,739232.6451,-3657091.089,48203762.45,698583.9018,12560559.6,3864487.515,15805489.4,-6942565.945,106000280.0,186263682.9,9301944.631,11106532.22,Sospechoso
,36974740.37,4989963.597,2250636.211,819579.03,-8847541.833999999,,696382.3588,3182783.63,1090270.934,23033076.02,-4083454.339,137703826.8,133682167.8,,23023937.28,Sospechoso
675143.1818,4511163.414,119294.0058,17604730.84,1203152.398,-2799484.42,8868684.374,219373.7348,5650328.978999998,455754.1424,,-5323252.84,11316323.74,42889240.66,701074.8214,1962080.906,Sospechoso
4174097.251,20954760.62,837570.0551,,2962038.398,-11293959.32,11734798.08,380774.9711,7082978.094,,16327546.58,-3161446.856,120471538.5,85277909.07,3795830.257,6698430.887,Sospechoso
1377134.204,54554760.24,8510885.848,10811480.24,1843812.392,,52638317.72,1162823.821,,2853207.355,17687323.86,,141297531.0,403762439.9,17537134.87,25312974.41,Sospechoso
1584893.593,4195497.014,1761133.8169999996,8754272.609,,-3282497.889,10355882.04,2283095.8430000003,10139398.05,,9545059.522,-4849649.369,,,,3010139.81,Sospechoso
1439473.801,21909055.75,3729774.641,8613391.9,2028390.379,,,153927.2312,751102.1343,502359.6077,6104623.74,,90285022.36,401717418.8,25060253.91,33137473.16,Sospechoso
814469.2259,11673903.08,3054405.545,1263820.684,1019628.152,,22171228.01,,3260643.202,375422.3828,7065036.063999998,,101859104.7,64641491.96,,8266363.209,Sospechoso
124264.4646,5693568.187999999,91933.43415,517630.183,,-7961206.313999998,3952348.535,200342.1823,3471803.559,,,-7035923.452000001,20059241.25,24245953.31,605708.3326,,Sospechoso
238537.1511,9906701.972,951532.0806,439393.4725,620886.6808,-3963428.155,7812561.924,378583.2854,5936987.9,834484.6841,17260880.58,-4816461.61,72183483.9,,1340655.272,1229411.17,Sospechoso
373868.8023,,3372200.5130000007,109095.2993,287689.8196,-2981925.473,4986445.718,373601.7282,1175491.861,1694585.454,16781411.33,-2181370.133,63365783.47,,3142154.595,7396385.47,Sospechoso
240755.9974,18524301.02,370564.4275,,852653.2245,-6942421.641,6804251.338,188231.7964,1115098.187,,18292370.92,-3988172.135,73562069.78,24821215.05,3038884.973,,Sospechoso
254331.6508,8282643.797,4213281.124,709545.9,1277034.622,,8655973.328,461757.8057,,57190.84423,24067128.64,-5174279.927,130967759.8,35867450.86,4123349.577,,Sospechoso
187436.5769,,1227454.642,,513930.7473,-1296153.195,9139075.611,135399.512,1781735.481,340917.1991,8315645.609,-3375633.278,,24447904.49,7618425.726,5012676.507,Sospechoso
370849.3691,17177773.6,,,,-5786210.124,20489718.08,573959.3572,6338753.323,,19076803.71,-7347667.781,36675648.76,37749578.59,3173411.505,3308341.896,Sospechoso
1548192.755,,7660264.563999998,989548.1382,,-1328296.328,18369224.88,127555.5248,6400960.827000001,1164979.803,7126375.694,-4428009.731000002,127710454.1,70443206.92,4206008.614,,Sospechoso
298548.1961,14241664.9,3638985.447,100431.3291,15755.55755,-2533738.064,12195783.25,425063.9112,,3175762.598,,-5437169.4520000005,20402971.12,16791855.15,5884906.594,5861728.7579999985,Sospechoso
616942.1219,16344927.6,5056478.761,409924.6259,1784081.2219999996,-7142379.262999998,,,10061029.42,294487.7596,,-5004133.745,237790828.3,37821691.96,4019500.531,2239649.881,Sospechoso
1833456.441,4106767.469,643399.8198,2044016.584,580081.6588,-6395732.984,,,3420018.326000001,,7373591.827,,37399598.0,12921886.16,,,Sospechoso
130165.872,,389023.5515,623503.3552,814439.8257,-943400.1827,,177469.7417,4118405.245,24939.01261,9535721.636,-4600958.259,32937978.1,,2071987.318,409203.3743,Sospechoso
4175824.771,33556748.09,4745438.315,20413967.73,,-5935746.917,41720678.89,745894.0872,,,8755534.816,-5482871.641,,289527901.2,14421131.11,20304042.41,Sospechoso
2004843.16,9409698.089,8446851.536,542414.8245,936256.951,-3382690.318,13667757.23,361355.8645,4744366.337,3231532.047,5194151.6510000015,-4135727.542,73213055.27,103123849.8,8514731.166000001,8511760.475,Sospechoso
1615624.5669999996,33340633.05,2338668.882,,1391852.342,-6454402.884,34059405.83,334604.1568,2459677.481,101144.785,23569994.06,-4034439.367,174907137.0,48069809.48,6256323.028,16039044.03,Sospechoso
836578.7214,14055138.75,9399278.916,492309.7454,,-661970.039,13756904.75,722047.4804,,3438561.812,12172006.98,-4095371.604,111905664.4,72255576.82,6598057.486000001,8532512.226,Sospechoso
1350339.259,17799866.46,2329422.344,10718668.43,1061785.604,-5017216.595,26545198.74,1081194.742,4271838.64,743167.2065,,,,88144031.48,9846265.523,,Sospechoso
1811600.375,19998623.2,10677611.28,1179033.971,397918.9689,,27291688.03,,6582784.852000001,9064512.731,,-5663648.515,52816779.8,111897887.0,8097958.852999999,13315919.44,Sospechoso
470946.0397,21336707.27,9212848.163,834102.6239,803262.3001,1277599.57,28784209.97,1095873.171,,,12594553.0,,89100829.29,79690866.25,,19868309.53,Sospechoso
581337.8742,26544709.25,2393713.796,4146758.942,800122.4163,-4994164.74,29459095.63,,2827773.331,91234.06976,19608355.45,-4504331.096,,46487708.21,11458623.37,,Sospechoso
2211451.595,50864122.15,15480217.53,,778055.1447,-8221619.411,23745718.82,3029145.721000001,13953487.53,,31128418.32,-6595634.759,182452962.2,93574703.66,3804678.792,8821057.013,Sospechoso
1757826.8380000002,11511304.5,6153570.195,,2645230.122,-5025977.765,12231935.34,910307.8837,3655221.769,388385.4931,18526712.27,,,231170613.5,4058579.261,9697853.104,Sospechoso
,2683081.009,,3265577.744,1971279.474,,1039823.414,58879.74434,653684.845,15.59332,16716270.28,,,28929790.3,601141.5829,1239384.105,Sospechoso
340203.9344,16932378.48,2160353.755,,1226435.021,-852969.6463,20851529.34,,2363609.822,2559772.833,8044669.366,-5797747.4339999985,49502671.95,,6893441.096,10818020.68,Sospechoso
616911.2478,,2213424.973,587010.3739,938223.261,-1509111.225,6565038.3160000015,276169.3766,5107544.023,2793162.44,8616158.433,-3577770.6380000007,,32190877.77,1500236.608,3849986.4460000005,Sospechoso
1538389.782,40836824.82,7689626.837,3909542.916,1436919.889,-5830775.959,24821758.79,1157569.442,4106389.551,1335809.338,21018841.93,-3706876.167,163596735.9,108429324.9,16874651.95,,Sospechoso
365667.8294,22606312.78,4308598.551,,495219.6054,921370.6154,32986214.11,644709.6170000001,8143223.432,2721090.934,9508108.601,-3862396.908,72712917.04,30631087.82,19832845.31,,Sospechoso
2783582.72,13539166.35,8335524.491,209673.2112,,,8362443.529,,,6685140.033,9794458.354,-3038790.591,49841632.63,47555993.5,7053393.034,9487050.563,Sospechoso
368218.1152,18694601.68,1667899.275,,295415.6652,-4712285.856000002,10788913.53,487679.0351,,1203328.034,12373544.77,-5689788.392000001,,,4041843.38,12525282.0,Sospechoso
2387082.351,46976364.41,28091.50088,57609345.89,4051899.949,,11913855.79,946851.2545,,,,-6027973.628,216518109.4,,,,Sospechoso
,14655974.06,,21619091.85,3493344.399,-4643856.891,32047544.26,82337.87457,,,7271895.481000002,-4884483.524,111441173.9,473996705.8,28588709.96,,Sospechoso
5793214.406,40273421.79,,,1129198.219,-3423496.798,39750672.25,2371607.919,8492010.933,14837185.63,10560064.72,-4130991.853,131703507.4,,17272029.87,,Sospechoso
399310.3363,30206475.84,7777375.595,133840.0255,,-2125594.971,,343176.7069,1386820.5,3700651.439,19224440.81,-3007802.802,102649039.5,24855425.36,9665776.835,18612899.24,Sospechoso
1001763.542,14209292.14,15761106.06,131201.155,2687019.338,-3401253.134,19070954.31,,5425198.0660000015,1679089.0869999996,14571272.95,-3863131.604,,,11552545.32,,Sospechoso
1550898.6930000002,12061645.49,2276352.516,3445365.848,563697.9093,-5760018.606000002,17409074.8,621839.5444,,2035019.696,2918673.95,,26022074.67,167039240.6,15839448.03,11645654.28,Sospechoso
755989.3215,,1894618.624,1595135.811,2560617.091,-4805745.495,12968897.15,249759.1833,5880455.409,,,,,71767391.21,3019780.779,3703915.097,Sospechoso
1580329.851,17346866.16,7541542.332,963847.4891,1426136.449,-5433684.4410000015,19309009.91,256453.0611,,845286.3704,,-4480536.358,141729122.0,115256553.0,8743399.231,10888249.01,Sospechoso
254836.8214,11013309.29,8500087.229,94736.46584,135815.5975,181867.5,,240075.9941,3751556.93,1777888.697,13987002.07,-2958303.733,71271621.02,15607447.48,17108081.83,8152968.672,Sospechoso
250610.8839,14847243.47,1206140.177,,651937.8387,-2087043.312,5415747.669,227780.1296,292943.9274,110553.651,15823666.7,-1375826.93,81717666.84,10398627.29,5139472.199,10545676.77,Sospechoso
,4055718.159,175813.2065,152790.5464,36232.51231000001,,2338711.731,300511.0372,3962623.244,1391244.654,8411507.48,-4577294.885,5975960.931,10108495.17,2012583.357,1030703.842,Sospechoso
146287.7303,16629283.74,15767.55928,,1384718.0769999998,-9290699.764,8031235.595,105180.6981,,1070.07124,,-2905647.124,72338881.55,18853663.63,5050888.686000002,4608618.831,Sospechoso
584811.9358,1171771.597,,6124719.75,,-11088629.61,1780106.426,195349.5653,2282020.258,1700.48806,11950194.73,-3339136.338,39520479.02,32886456.09,2207665.234,1035310.864,Sospechoso
,11687754.72,,1214552.523,873196.8837,1175059.038,26274620.22,362471.7702,,2344403.692,12092133.8,-3152700.644,108982861.3,25366299.34,6309610.353999998,8600836.894,Sospechoso
,18748591.55,,5956934.46,1535455.0359999996,-501088.0532,26707244.32,1057039.629,,,2599645.851,-3474593.452,59220183.16,,31059597.09,23940642.62,Sospechoso
1153448.689,7714699.914,5359500.676,,272461.2167,-1651091.2880000004,12240223.47,,4683671.047,6031769.922,8140903.613,-2622401.781,47184570.1,20762609.26,9888499.923,,Sospechoso
871373.2865,19203661.48,,973696.2659,,-14324194.53,8189349.325,232286.4631,4181031.485,,22355902.92,-5740274.753,58168125.2,54758922.72,,3232675.9460000005,Sospechoso
101117.8999,6325131.92,3269378.207,133954.8285,441801.564,-144658.4019,5068170.963,96897.79267,1646634.04,75777.44537999999,14371414.85,-4188205.204,51500336.0,22801242.19,5719558.713,4081144.898,Sospechoso
1123656.445,28002741.44,13977355.83,127774.291,30400.59145,-2682015.386,36802816.22,529816.3682,4868490.866,,9511324.307,-4592567.355,43680291.82,48626606.82,20077962.89,17787457.7,Sospechoso
,12003436.17,743574.1428,398338.5748,230881.2133,-7568922.654,8426217.547,407164.5816,1282192.666,1001457.039,15845072.75,-2107245.663,46607353.03,15804166.38,,8954279.114,Sospechoso
,14913625.55,1488917.38,,725543.3161,-6785092.789,17605772.26,150198.228,,,,-6400315.33,61833023.15,,6689972.722,,Sospechoso
1476700.844,18000815.18,4288664.589,3140851.589,990529.7799,-3579033.694,16521860.23,586152.5341,3837020.445,2535246.66,,-3881666.08,49963941.57,109505451.3,10208742.23,13287463.85,Sospechoso
503314.1726,,118802.4569,1720593.824,421361.3593,-9584539.678,,74113.6221,2628583.811,64860.89835,8236048.1910000015,-3632811.303,21263477.92,28772066.96,6080667.614,3657375.643,Sospechoso
1271416.358,22532449.09,4192757.717,9220118.066,,,26104366.29,200401.6707,,45186.07096000001,21892995.93,-6991066.9070000015,133885840.6,100567587.6,2441254.4680000003,4183047.341,Sospechoso
5225573.223,19493882.49,3810813.173,3476687.909,1178926.358,-9281789.776,,,8439656.857,2556675.976,11103874.57,-3758109.158,94796878.73,125083640.2,,12668259.32,Sospechoso
157438.4645,8553306.793,,188170.0359,2459.131882,-2767834.242,,344901.8715,3483152.269,1935261.103,8654520.976,-6587771.45,3146113.611,7179048.9410000015,1206724.429,1567229.954,Sospechoso
632011.3504,11107873.61,,3075379.575,1699994.29,-1951039.674,10859032.55,311444.6157,,,5001405.188,-2880551.861,51899931.71,93014264.02,9212322.766,11249212.03,Sospechoso
361393.8262,6773134.377,,269239.7118,911983.973,1408993.841,11519967.7,177553.9818,,154080.7093,16627226.53,-3380062.207,150241341.9,23951720.17,6347402.999,7273452.097999998,Sospechoso
1965555.883,30870125.88,2832779.749,2043378.923,827872.2106,-10108149.64,34926324.8,778629.9028,,5354829.938,14888941.13,-5299704.522,68482704.21,,16348139.92,14012343.32,Sospechoso
557406.3711,,,2525537.632,1139925.862,-4437813.85,32985759.71,665798.452,7631429.4920000015,,10684416.76,-6320673.872,57977187.82,,26534439.23,11307769.97,Sospechoso
469500.0136,,291790.7166,5177229.071,2613383.5,-5139318.995,,109088.1778,1372878.2319999998,26462.6634,6157948.292,-3371780.75,58540360.98,,5097715.636,5146225.426,Sospechoso
559212.073,2782174.265,552831.4053,,1302864.023,,2662156.566,,1401965.529,3325.060851,15533192.62,-4771240.553,78426936.11,15707062.4,303013.7488,1340237.63,Sospechoso
297003.8669,11854656.03,13336910.91,157989.9338,953600.0193,,14236183.94,113237.9064,1078795.248,126669.5404,,-4875825.038,142056242.0,98838916.42,11566187.67,,Sospechoso
934057.3791,9667390.96,3233984.977,2257363.654,613882.7581,-2627604.13,13912110.87,165480.8777,1421992.283,145793.4722,6842442.84,-5632066.107999999,47969629.84,83860076.71,,8844333.983,Sospechoso
1001396.796,32166886.59,9864966.259,,1824180.404,-5829726.317000002,29200418.17,418305.3693,1418477.4719999996,586235.7016,21865161.27,-3199563.639,233741017.1,204382128.9,27262497.36,,Sospechoso
327812.457,5862259.472,,717779.7234,,-6571868.404,9648130.983,72295.94912,1057390.957,12360.87641,13712657.31,-6503286.7179999985,74235655.0,,1682539.96,3842326.969,Sospechoso
649638.1679,23323831.03,4854317.331,1904138.693,706825.3116,-2292581.07,39161895.3,,2744762.315,,9244791.156,-4509310.044,80251719.54,141642306.1,24334873.46,18432223.79,Sospechoso
3718870.793,26209461.67,,65335693.88,3578282.735,-9571253.453,38802915.24,1015165.134,13936866.25,1234139.902,18728523.75,-3876804.831,155415298.0,135376492.9,,8845679.496,Sospechoso
1380877.0880000002,19572538.28,838664.7972,3660105.907,267670.4347,-5253275.054,16116957.41,,,,9232578.245,-1815423.489,49764237.97,12143522.27,,13155491.17,Sospechoso
5098834.524,,7710457.94,,979842.7001,-10483863.31,24449319.68,1009905.83,11962048.97,1943504.327,18345717.2,-5621293.517000001,139424130.8,145152407.0,11408819.72,7787294.05,Sospechoso
539628.0758,14471941.97,5960073.49,757020.5998,1083028.113,1365831.664,20488346.76,509550.1756,2959834.814,3591679.224,,-2267322.881,111729844.5,29716484.47,7787552.087,11977203.12,Sospechoso
332836.7578,2849029.1789999995,,375680.3152,,-4265224.273,4098767.942,59726.09327000001,5037185.743,57430.35388,8646362.208999999,-5703524.466,50698130.26,50152705.38,1502852.1609999996,940448.537,Sospechoso
897261.3692,20445727.32,,2967037.318,3016601.88,-6857550.711,19312834.81,,12148762.15,,22341733.58,-6566289.375,158532915.1,236891989.0,4978089.245,4626451.942,Sospechoso
1771010.644,3878885.145,430526.4941,4701272.268999998,2703344.421,-7514541.964,2965485.701000001,272963.4676,3297230.13,159999.2196,7423754.77,-2802802.382,78044557.05,36834452.32,1366336.431,2061148.237,Sospechoso
229914.8113,13800886.68,,,784237.3958,2257341.964,11328222.9,1152991.428,,841947.7194,24323685.17,-3123622.383,170183409.7,14205485.61,6963087.947000002,7176349.89,Sospechoso
536112.2746,17908177.82,8931632.662999999,,157070.9886,-6632031.13,,319279.315,3824241.964,3112790.378,17964065.53,-4987729.199,125486811.5,55470808.14,,10269590.96,Sospechoso
536628.4687,7719759.988,10053703.81,181461.1289,697051.0998,68828.59258,15493677.01,,4184920.284,1138299.41,9422399.726,-5582465.478999998,87604705.56,70952021.24,,5481981.562999999,Sospechoso
415409.5859,8673981.179,1442205.137,527112.5156,550500.6544,-5401318.102000001,9590275.452,299381.7074,3910725.023,867354.3645,12705039.92,-5208432.807,44028506.58,46418052.3,3936339.765,3907214.053,Sospechoso
606294.9071,,4810105.459,1293018.014,940231.2072,-3720202.001,,,888032.9493,203421.1132,,-4078894.417,114520370.0,98231045.82,12768346.66,19735065.05,Sospechoso
1105437.113,30235159.01,8300227.231000002,2430977.402,1337401.291,-1128673.396,30976969.1,1526031.758,8600199.836000001,7578091.99,11800864.27,,,147687208.2,11116464.1,12313359.84,Sospechoso
718096.6959,,,535803.9346,1006536.868,-1883612.792,17329127.69,,6417802.1170000015,2150886.067,,-5407663.54,117903241.3,71324939.54,5379433.16,6941098.154,Sospechoso
1187997.212,40544483.62,17348252.38,617690.5274,1125270.16,-7599542.954,37763994.13,550888.8651,7776316.013999999,1151918.434,21467618.69,,180132065.7,599322962.1,,16711520.61,Sospechoso
739669.3536,21867446.74,9832665.079,964548.5939,1411226.353,-1959810.063,32942639.55,110654.3514,5868461.7,160297.125,,-4728739.903,252651399.5,,6621809.465,7820086.971,Sospechoso
310544.4797,,5081322.058,2951543.776,194098.672,689461.3562,41207493.62,294657.5038,2070118.583,197754.4866,15841124.46,-4669492.819,75614668.24,32292992.79,21470337.41,15966003.8,Sospechoso
603395.7892,,3468910.236,13863547.27,,-1845480.308,27399878.45,316695.1215,4707387.46,26336.68601,21228713.58,,207642846.9,49195970.85,8622133.796,8052287.863,Sospechoso
316393.358,28130812.92,,3101898.779,434854.6799,-1749991.262,27794937.41,497671.2653,5052144.465,,24266901.14,-6533229.859,104783124.5,34924529.15,6280227.923,,Sospechoso
3075188.978,16994781.41,1205930.604,12001919.66,1517825.231,-8382242.522000001,12170558.74,503838.4426,4552706.45,636032.3226,11984684.25,-3208161.645,73088347.83,55787032.91,4987243.856000002,8081826.118,Sospechoso
627086.7197,19815975.0,,1933676.745,1318443.59,-6640291.7760000015,10894274.78,382797.6094,,222060.9775,21905985.23,,74766932.63,130978604.4,2684280.411,6598291.736000001,Sospechoso
1067704.907,10414173.22,6957486.857999999,,1021033.368,-1421923.78,4414959.617,608015.535,2938169.758,2894042.874,12703488.34,-2657070.659,68118085.84,29186101.48,2110751.0130000003,7421961.501,Sospechoso
,,7875591.4739999985,359944.0548,1407463.694,-2129588.106,17777425.11,238095.7058,544658.5967,1484042.979,10780975.02,-2227505.859,130116293.9,150671106.8,22727193.52,,Sospechoso
1032299.475,10027112.71,,3713650.647,2794201.4910000004,-10258645.37,,228972.3967,2270892.086,46264.45917,15803159.94,-3148362.29,97254093.17,,8676920.502,,Sospechoso
